ReportDate,DataYearMonth,CompanyCode,CompanyName,Industry,CurrentRevenue,LastMonthRevenue,LastYearSameMonthRevenue,MonthlyChangePercent,YearlyChangePercent,CumulativeCurrentRevenue,CumulativeLastYearRevenue,CumulativeChangePercent,Remarks
"1131117","11310","3013","晟銘電","電腦及週邊設備業","773935","825693","678312","-6.268431487247682","14.09720010850464","7501733","5333614","40.65009203890645","-"
"1131117","11310","3014","聯陽","半導體業","592935","638504","493295","-7.136838610251463","20.198866803839486","5585534","5319782","4.995543050448308","-"
"1131117","11310","3015","全漢","電子零組件業","935103","1043734","1042266","-10.407920025600392","-10.281732302502432","9662359","11326533","-14.692704290006484","-"
"1131117","11310","3016","嘉晶","半導體業","342462","350941","346515","-2.416075636645476","-1.169646335656465","3475065","3556749","-2.2965916346641273","-"
"1131117","11310","3017","奇鋐","電腦及週邊設備業","7080952","6351281","5513752","11.488564275458762","28.423476427666678","57938178","47987999","20.7347236962308","-"
"1131117","11310","3018","隆銘綠能","其他電子業","72771","161733","36025","-55.0054719815993","102.00138792505204","698642","478345","46.053998682958955","新工案已陸續施作，故113年10月收入高於112年10月"
"1131117","11310","3019","亞光","光電業","2063567","2185365","1554174","-5.573348159231982","32.775802451977704","18793971","14555534","29.119075947333847","-"
"1131117","11310","3021","鴻名","電子零組件業","287911","311511","243383","-7.575976450269814","18.295443806675078","2933007","2454749","19.482969541896136","-"
"1131117","11310","3022","威強電","電腦及週邊設備業","509230","578569","582828","-11.984568824116051","-12.62773923009876","5711855","6509574","-12.254549990521653","-"
"1131117","11310","3023","信邦","電子零組件業","2805869","2858220","2603676","-1.8315944888776932","7.765674377303474","27683847","28145843","-1.6414360017569913","-"
"1131117","11310","3024","憶聲","光電業","311371","100591","151692","209.54160909027647","105.26527437175329","1461386","1330252","9.857831448477432","本月子公司建案完工開始交屋，使營收增加"
"1131117","11310","3025","星通","通信網路業","43317","89129","34343","-51.39965667740017","26.13050694464665","527825","434417","21.501920965339753","-"
"1131117","11310","3026","禾伸堂","電子零組件業","1080046","1108042","1030852","-2.526619027076591","4.772169040754638","10672818","11346396","-5.936492962170543","-"
"1131117","11310","3027","盛達","通信網路業","161063","161301","165979","-0.14755023217463004","-2.961820471264437","1664406","1530838","8.725155764359128","-"
"1131117","11310","3028","增你強","電子通路業","2866824","3317649","2798823","-13.588688857682051","2.4296284545324944","30614711","27082483","13.04248210919213","-"
"1131117","11310","3029","零壹","資訊服務業","1695041","1794847","1186081","-5.560696817054601","42.91106593900417","14980967","11869567","26.21325613647069","-"
"1131117","11310","3030","德律","其他電子業","515132","557973","280850","-7.677970080989582","83.41890688979882","5378759","3410972","57.689919471634475","本月較去年同期增加83%，主因伺服器、半導體以及車電產業需求增加 累計較去年同期增加58%，主因電腦、伺服器及手機產業需求增加"
"1131117","11310","3031","佰鴻","光電業","68318","88028","82975","-22.390602989957742","-17.664356733956012","972534","936844","3.809599036765993","-"
